,X.当周毛利,Y.次周毛利,Z.季度毛利,M．次周为当周倍数,N．季度为次周倍数,添加时间
ltc_usd,0.00866018,0.01821652,0.11123614,2.10348028,6.10633135,2018-01-03 23:59:55
etc_usd,-0.00028073,0.00932655,0.11176269,34.22222222,11.98327759,2018-01-03 23:59:55
bch_usd,0.0083173,0.00860515,0.11300104,1.03460931,13.13178573,2018-01-03 23:59:55
eth_usd,-0.00109806,-0.00111172,0.0544867,1.01243523,50.01125896,2018-01-03 23:59:55
btc_usd,0.00811521,0.00980022,0.07957168,1.20763645,8.11937576,2018-01-03 23:59:55
ltc_usd,0.00842194,0.01915137,0.11145103,2.27398568,5.81947943,2018-01-03 23:59:45
etc_usd,-0.00028073,0.00932655,0.11301039,34.22222222,12.11705686,2018-01-03 23:59:45
bch_usd,0.00684131,0.00860515,0.11196669,1.25782221,13.01158457,2018-01-03 23:59:45
eth_usd,-0.00110147,-0.00111513,0.0544831,1.01239669,49.85816327,2018-01-03 23:59:45
btc_usd,0.00793419,0.00910217,0.07919028,1.14720855,8.70015276,2018-01-03 23:59:45
ltc_usd,0.00748278,0.01781078,0.10967376,2.38023631,6.15771661,2018-01-03 23:59:36
etc_usd,-0.00106054,0.00932655,0.11301039,9.79411765,12.11705686,2018-01-03 23:59:36
bch_usd,0.00537074,0.00860515,0.11196669,1.60223022,13.01158457,2018-01-03 23:59:36
eth_usd,-0.00042808,0.00046679,0.05506296,2.09042553,117.96097561,2018-01-03 23:59:36
btc_usd,0.00675779,0.00832608,0.07766488,1.23207288,9.32790014,2018-01-03 23:59:36
ltc_usd,0.00628132,0.01783927,0.10906512,2.84005118,6.11376436,2018-01-03 23:59:25
etc_usd,-0.0053963,0.00932655,0.11301039,2.7283237,12.11705686,2018-01-03 23:59:25
bch_usd,0.00537074,0.00860515,0.11196669,1.60223022,13.01158457,2018-01-03 23:59:25
eth_usd,-0.00168259,-0.00028441,0.0539033,0.16903313,190.524,2018-01-03 23:59:25
btc_usd,0.00691534,0.00832608,0.07766886,1.20400153,9.3283772,2018-01-03 23:59:25
ltc_usd,0.00844499,0.01686988,0.10944713,1.99761905,6.48772348,2018-01-03 23:59:15
etc_usd,-0.00109174,0.00932655,0.11301039,9.54285714,12.11705686,2018-01-03 23:59:15
bch_usd,0.00537074,0.00860515,0.11034813,1.60223022,12.82349243,2018-01-03 23:59:15
eth_usd,-0.00165984,-0.00028441,0.0539033,0.17135024,190.524,2018-01-03 23:59:15
btc_usd,0.00636588,0.00823142,0.07653947,1.29305324,9.29845585,2018-01-03 23:59:15
